,precision,recall,f1-score,support
NEGATIVO,0.7770734915983974,0.8203914141414141,0.7981451340478457,15840.0
NEUTRO,0.45426740460238857,0.3946602555991396,0.42237118288306585,7903.0
POSITIVO,0.8109235729186421,0.8188956271943824,0.8148901029094143,15665.0
accuracy,0.734419407226959,0.734419407226959,0.734419407226959,0.734419407226959
macro avg,0.6807548230398094,0.6779824323116453,0.678468806613442,39408.0
weighted avg,0.7257926607608055,0.734419407226959,0.7294425457703695,39408.0
