,precision,recall,f1-score,support
Negativo,0.6611577711550619,0.46218434343434345,0.5440493441831086,15840.0
Neutro,0.3183747178329571,0.44615968619511576,0.3715881547054484,7903.0
Positivo,0.6082850521436848,0.6702202361953399,0.6377524677296886,15665.0
accuracy,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
macro avg,0.5292725137105679,0.5261880886082664,0.5177966555394152,39408.0
weighted avg,0.5713976814849996,0.5416666666666666,0.5467112059856671,39408.0
