,precision,recall,f1-score,support
NEGATIVO,0.8727461858529819,0.9027977044476327,0.8875176304654443,2788.0
NEUTRO,0.5541740674955595,0.514003294892916,0.5333333333333333,607.0
POSITIVO,0.9267477203647416,0.912327947336924,0.919481302774427,3342.0
accuracy,0.872495175894315,0.872495175894315,0.872495175894315,0.872495175894315
macro avg,0.784555991237761,0.7763763155591575,0.7801107555244015,6737.0
weighted avg,0.8708313650863715,0.872495175894315,0.8714619268135857,6737.0
