,precision,recall,f1-score,support
NEGATIVO,0.8190240160500384,0.8667957284706176,0.8422330097087378,16013.0
NEUTRO,0.5173103554392984,0.4204076528698262,0.46385209713024284,7997.0
POSITIVO,0.8555366476236781,0.8859030837004406,0.8704551075933713,15890.0
accuracy,0.784937343358396,0.784937343358396,0.784937343358396,0.784937343358396
macro avg,0.7306236730376717,0.7243688216802947,0.725513404810784,39900.0
weighted avg,0.7730937296290119,0.784937343358396,0.7776349389693042,39900.0
